,Name,Image,Personality Traits
60,['Anupam Kher'],"['https://en.wikipedia.org//wiki/File:AnupamKher2.jpg', 'https://en.wikipedia.org//wiki/File:Anupam_Kher_and_Kirron_Kher.jpg']","['actor', 'actor', 'producer', 'actor', 'actor', 'actor', 'successful', 'actor', 'comedy', 'actor', 'successful', 'actor', 'comedy', 'actress', 'actor', 'actor', 'actor']"
61,['Anurag Kashyap'],"['https://en.wikipedia.org//wiki/File:Anurag_kashyap_second_trailer.jpg', 'https://en.wikipedia.org//wiki/File:Anurag_kashyap.jpg', 'https://en.wikipedia.org//wiki/File:Anurag_Kashyap_Udaan_Press_meet.jpg', 'https://en.wikipedia.org//wiki/File:Anurag_Kashyap_at_the_Imaikaa_Nodigal_Success_Meet.jpg', 'https://en.wikipedia.org//wiki/File:Jury_du_66%C3%A8me_Festival_du_Cin%C3%A9ma_de_Venise_(Mostra).jpg', 'https://en.wikipedia.org//wiki/File:Kalki_and_anurag_at_filmfare.jpg']","['director', 'writer', 'producer', 'actor', 'writer', 'director', 'actor', 'producer', 'director', 'producer', 'actor', 'director', 'creative', 'director', 'director', 'comedy', 'comedy', 'producer', 'director', 'actor', 'director', 'married', 'actress']"
62,['Apurva Agnihotri'],['https://en.wikipedia.org//wiki/File:Apurva_Agnihotri.JPG'],"['actor', 'married', 'actress', 'successful', 'actor', 'actor']"
63,['Aravind Akash'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],['actor']
64,['Arbaaz Khan'],"['https://en.wikipedia.org//wiki/File:Arbaaz_Khan_at_his_birthday_bash_at_Su_Casa.jpg', 'https://en.wikipedia.org//wiki/File:Malaika_Arora_Khan_and_Arbaaz_Khan.jpg']","['actor', 'director', 'producer', 'successful', 'screenwriter', 'actress', 'actor', 'producer', 'successful', 'actor', 'successful', 'director', 'comedy', 'producer', 'successful', 'married', 'actress', 'actor', 'actor']"
65,['Arif Zakaria'],['https://en.wikipedia.org//wiki/File:Arif_Zakaria2.jpg'],"['actor', 'actor', 'director', 'producer']"
66,['Arjun Kapoor'],"['https://en.wikipedia.org//wiki/File:Crystal_Clear_app_kedit.svg', 'https://en.wikipedia.org//wiki/File:Arjun_kapoor_12.jpg', 'https://en.wikipedia.org//wiki/File:Arjun_Kapoor_at_the_screening_of_D-Day,_2013.jpg', 'https://en.wikipedia.org//wiki/File:Gunday_Cast.jpg', 'https://en.wikipedia.org//wiki/File:Arjun_Kapoor_at_film_promotions_of_Mubarakan.jpg']","['actor', 'director', 'successful', 'comedy', 'producer', 'actress', 'director', 'producer', 'writer', 'actor', 'director', 'host', 'comedy', 'comedy', 'comedy', 'actress', 'successful']"
67,['Arjun Mathur'],['https://en.wikipedia.org//wiki/File:Arjun_mathur.jpg'],"['actor', 'independent', 'actor', 'director', 'actor']"
68,['Arjun Rampal'],"['https://en.wikipedia.org//wiki/File:Arjun_Rampal_12.jpg', 'https://en.wikipedia.org//wiki/File:Arjun_Rampal_2004.jpg', 'https://en.wikipedia.org//wiki/File:Arjun-Rampal-BH.jpg', 'https://en.wikipedia.org//wiki/File:Arjun_Rampal,_Madhur_Bhandarkar,_Kareena_Kapoor_at_the_First_look_launch_of_%27Heroine%27_03.jpg', 'https://en.wikipedia.org//wiki/File:Arjun_N_Mehr.jpg']","['actor', 'producer', 'screenwriter', 'successful', 'producer', 'actress', 'actor', 'actress', 'actor', 'actor', 'actor', 'actor', 'actor', 'successful', 'actor', 'powerful', 'actor', 'successful', 'comedy', 'actor', 'successful', 'comedy', 'actor', 'comedy', 'actor', 'actor', 'powerful', 'gorgeous', 'good looks', 'actor', 'actress', 'hosting', 'actor', 'successful', 'good looks', 'actor', 'hosting', 'married', 'actor']"
69,['Arjun Sarja'],['https://en.wikipedia.org//wiki/File:Arjun_at_the_%E2%80%98Kolaigaran%E2%80%99_Press_Meet.jpg'],"['actor', 'producer', 'director', 'actor', 'actor', 'photographer', 'actor', 'actor', 'married', 'actress', 'actor', 'producer', 'director', 'actor', 'director', 'actor', 'photographer', 'actor', 'writer', 'actor', 'memorable', 'honest']"
